generation modifier driver
0 0.555 0.015
1 0.5 0.015
2 0.555 0.02
3 0.515 0.025
4 0.53 0.05
5 0.575 0.045
6 0.575 0.02
7 0.6 0.015
8 0.58 0.025
9 0.485 0.045
10 0.42 0.095
11 0.38 0.125
12 0.31 0.11
13 0.32 0.125
14 0.355 0.17
15 0.375 0.09
16 0.345 0.145
17 0.35 0.18
18 0.395 0.175
19 0.445 0.185
20 0.47 0.165
21 0.49 0.205
22 0.48 0.22
23 0.49 0.155
24 0.54 0.185
25 0.535 0.25
26 0.565 0.21
27 0.535 0.175
28 0.51 0.17
29 0.505 0.175
30 0.475 0.13
31 0.48 0.135
32 0.49 0.19
33 0.455 0.255
34 0.44 0.235
35 0.435 0.275
36 0.36 0.305
37 0.35 0.275
38 0.28 0.27
39 0.295 0.305
40 0.29 0.33
41 0.285 0.28
42 0.245 0.335
43 0.285 0.315
44 0.255 0.31
45 0.22 0.36
46 0.255 0.395
47 0.295 0.405
48 0.295 0.45
49 0.33 0.48
50 0.33 0.485
51 0.27 0.585
52 0.275 0.6
53 0.22 0.65
54 0.225 0.71
55 0.225 0.695
56 0.225 0.68
57 0.255 0.74
58 0.25 0.72
59 0.22 0.775
60 0.2 0.73
61 0.225 0.755
62 0.19 0.71
63 0.15 0.71
64 0.115 0.735
65 0.12 0.745
66 0.115 0.745
67 0.09 0.7
68 0.085 0.715
69 0.065 0.66
70 0.065 0.675
71 0.07 0.655
72 0.075 0.66
73 0.055 0.64
74 0.055 0.69
75 0.05 0.72
76 0.02 0.725
77 0.02 0.695
78 0.02 0.71
79 0.0 0.625
80 0.0 0.63
81 0.0 0.59
82 0.0 0.575
83 0.0 0.55
84 0.0 0.625
85 0.0 0.6
86 0.0 0.6
87 0.0 0.56
88 0.0 0.61
89 0.0 0.675
90 0.0 0.645
91 0.0 0.645
92 0.0 0.72
93 0.0 0.69
94 0.0 0.695
95 0.0 0.665
96 0.0 0.64
97 0.0 0.695
98 0.0 0.705
99 0.0 0.715
100 0.0 0.74
101 0.0 0.675
102 0.0 0.615
103 0.0 0.66
104 0.0 0.725
105 0.0 0.795
106 0.0 0.785
107 0.0 0.775
108 0.0 0.755
109 0.0 0.755
110 0.0 0.75
111 0.0 0.755
112 0.0 0.73
113 0.0 0.745
114 0.0 0.725
115 0.0 0.755
116 0.0 0.695
117 0.0 0.68
118 0.0 0.625
119 0.0 0.6
120 0.0 0.545
121 0.0 0.52
122 0.0 0.465
123 0.0 0.42
124 0.0 0.375
125 0.0 0.41
126 0.0 0.425
127 0.0 0.33
128 0.0 0.36
129 0.0 0.365
130 0.0 0.285
131 0.0 0.34
132 0.0 0.37
133 0.0 0.38
134 0.0 0.415
135 0.0 0.44
136 0.0 0.47
137 0.0 0.45
138 0.0 0.46
139 0.0 0.45
140 0.0 0.36
141 0.0 0.3
142 0.0 0.28
143 0.0 0.245
144 0.0 0.235
145 0.0 0.205
146 0.0 0.23
147 0.0 0.185
148 0.0 0.21
149 0.0 0.175
150 0.0 0.115
151 0.0 0.075
152 0.0 0.065
153 0.0 0.05
154 0.0 0.045
155 0.0 0.02
156 0.0 0.005
157 0.0 0.0
