fixed generations attempts
1 30 5
1 55 2
1 38 14
1 32 2
1 33 1
1 36 10
1 37 6
1 32 2
1 37 10
1 34 6
1 36 9
1 29 11
1 27 14
1 31 3
1 37 20
1 34 15
1 43 13
1 34 2
1 60 2
1 25 7
1 42 9
1 40 10
1 20 1
1 52 2
1 48 8
1 30 2
1 32 7
1 29 17
1 33 5
1 27 1
1 45 6
1 44 5
1 33 9
1 43 2
1 32 7
1 42 3
1 37 2
1 38 3
1 44 3
1 35 1
1 38 1
1 36 19
1 34 6
1 24 5
1 55 24
1 56 5
1 49 3
1 44 4
1 29 9
1 54 6
1 27 1
1 33 10
1 25 5
1 54 3
1 38 1
1 27 3
1 28 12
1 32 3
1 39 1
1 29 8
1 36 3
1 40 3
1 37 4
1 48 9
1 28 3
1 33 1
1 42 1
1 35 6
1 39 7
1 37 5
1 32 5
1 43 3
1 37 5
1 38 1
1 41 12
1 60 2
1 45 2
1 34 8
1 31 6
1 43 7
1 34 4
1 34 8
1 45 1
1 31 6
1 51 6
1 42 4
1 36 15
1 24 7
1 36 7
1 39 1
1 38 6
1 41 9
1 35 7
1 24 3
1 45 6
1 42 6
1 32 1
1 38 12
1 38 6
1 43 5
